Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.19-85.114.159.93-36922-80-6,192.168.10.19,36922,85.114.159.93,80,6,7/7/2017 3:34,369764,3,4,487,430,481,0,162.3333333,275.9897341,416,2,107.5,205.6753105,2479.960191,18.93099382,61627.33333,70590.37092,161696,3,265391,132695.5,41012.90042,161696,103695,266126,88708.66667,153325.0001,265753,3,0,0,0,0,80,84,8.113283067,10.81771076,0,481,114.625,206.8187181,42773.98214,0,0,0,1,0,0,0,0,1,131.0,162.3333333,107.5,80,0,0,0,0,0,0,3,487,4,430,29200,30016,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-42292-80-6,172.16.0.1,42292,192.168.10.50,80,6,7/7/2017 4:15,582051,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,19986.22114,12.02643755,97008.5,236092.6439,578928,48,2099,1049.5,1416.334883,2051,48,582003,194001.0,333357.0556,578928,963,0,0,0,0,72,92,5.15418752,6.872250026,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-25957-80-6,172.16.0.1,25957,192.168.10.50,80,6,7/7/2017 4:04,3458971,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,6.938479681,1.15641328,1152990.333,1996122.519,3457914,1,3458971,1152990.333,1996122.519,3457914,1,0,0.0,0.0,0,0,0,0,0,0,80,0,1.15641328,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
192.168.10.16-192.168.10.50-51548-21-6,192.168.10.50,21,192.168.10.16,51548,6,7/7/2017 4:55,50,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,40000.0,50.0,0.0,50,50,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,20000.0,20000.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,227,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.1-192.168.10.3-53-61328-17,192.168.10.3,61328,192.168.10.1,53,17,7/7/2017 4:00,72386,1,1,57,343,57,57,57.0,0.0,343,343,343.0,0.0,5525.930429,27.62965214,72386.0,0.0,72386,72386,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,13.81482607,13.81482607,57,343,152.3333333,165.122177,27265.33333,0,0,0,0,0,0,0,0,1,228.5,57.0,343.0,32,0,0,0,0,0,0,1,57,1,343,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.3-192.168.10.9-53-50477-17,192.168.10.9,50477,192.168.10.3,53,17,7/7/2017 4:08,877,2,2,72,296,36,36,36.0,0.0,148,148,148.0,0.0,419612.3147,4561.003421,292.3333333,501.1400337,871,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,2280.50171,2280.50171,36,148,80.8,61.34492644,3763.2,0,0,0,0,0,0,0,0,1,101.0,36.0,148.0,40,0,0,0,0,0,0,2,72,2,296,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-34332-80-6,192.168.10.50,80,172.16.0.1,34332,6,7/7/2017 4:10,5478301,1,6,6,36,6,6,6.0,0.0,6,6,6.0,0.0,7.666610506,1.277768418,913050.1667,2221599.292,5447838,2,0,0.0,0.0,0,0,5470863,1094172.6,2433791.127,5447838,2,0,0,0,0,20,120,0.182538345,1.095230072,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,6,6.857142857,6.0,6.0,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,30463.0,0.0,30463,30463,5447838.0,0.0,5447838,5447838,BENIGN
172.16.0.1-192.168.10.50-58705-80-6,192.168.10.50,80,172.16.0.1,58705,6,7/7/2017 4:10,95425361,6,9,11607,62,4380,0,1934.5,2188.714486,20,0,6.888888889,5.30199124,122.284054,0.157190917,6816097.214,23900000.0,89800000,0,95400000,19100000.0,42700000.0,95400000,95,95400000,11900000.0,31500000.0,89800000,0,0,0,0,0,132,192,0.062876367,0.09431455,0,4380,729.6875,1589.290899,2525845.563,0,0,0,0,1,1,0,0,1,778.3333333,1934.5,6.888888889,132,0,0,0,0,0,0,6,11607,9,62,229,256,4,20,37331.0,0.0,37331,37331,47700000.0,59500000.0,89800000,5590953,BENIGN
192.168.10.3-192.168.10.12-53-17864-17,192.168.10.12,17864,192.168.10.3,53,17,7/7/2017 4:13,254,2,2,64,258,32,32,32.0,0.0,129,129,129.0,0.0,1267716.535,15748.0315,84.66666667,106.828523,205,1,1,1.0,0.0,1,1,48,48.0,0.0,48,48,0,0,0,0,64,64,7874.015748,7874.015748,32,129,70.8,53.12908808,2822.7,0,0,0,0,0,0,0,0,1,88.5,32.0,129.0,64,0,0,0,0,0,0,2,64,2,258,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-51731-80-6,192.168.10.50,80,172.16.0.1,51731,6,7/7/2017 4:06,82184837,6,9,11613,62,7215,0,1935.5,3122.940009,20,0,6.888888889,5.30199124,142.0578348,0.182515419,5870345.5,20100000.0,75700000,2,82200000,16400000.0,35900000.0,80600000,138,80600000,10100000.0,26600000.0,75700000,2,0,0,0,0,132,192,0.073006168,0.109509252,0,7215,730.0625,2044.725914,4180904.062,0,0,0,0,1,1,0,0,1,778.7333333,1935.5,6.888888889,132,0,0,0,0,0,0,6,11613,9,62,229,256,4,20,4871347.0,0.0,4871347,4871347,75700000.0,0.0,75700000,75700000,BENIGN
192.168.10.1-192.168.10.3-53-62035-17,192.168.10.3,62035,192.168.10.1,53,17,7/7/2017 3:58,95355,1,1,50,92,50,50,50.0,0.0,92,92,92.0,0.0,1489.172041,20.9742541,95355.0,0.0,95355,95355,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,10.48712705,10.48712705,50,92,64.0,24.24871131,588.0,0,0,0,0,0,0,0,0,1,96.0,50.0,92.0,20,0,0,0,0,0,0,1,50,1,92,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-59722-80-6,192.168.10.50,80,172.16.0.1,59722,6,7/7/2017 4:11,328713,6,2,11607,26,10135,0,1934.5,4059.461922,20,6,13.0,9.899494937,35389.53434,24.33733987,46959.0,123815.5975,327746,3,328713,65742.6,146464.5944,327746,5,3,3.0,0.0,3,3,0,0,0,0,144,40,18.2530049,6.084334967,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,0,1454.125,1934.5,13.0,144,0,0,0,0,0,0,6,11607,2,26,8192,256,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-42991-80-6,192.168.10.50,80,172.16.0.1,42991,6,7/7/2017 4:16,6124185,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,5.878333199,0.9797222,1224837.0,2726340.3,6101842,4,0,0.0,0.0,0,0,6104866,1526216.5,3050417.112,6101842,4,0,0,0,0,20,100,0.163287033,0.816435166,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,22343.0,0.0,22343,22343,6101842.0,0.0,6101842,6101842,BENIGN
172.16.0.1-192.168.10.50-51851-80-6,192.168.10.50,80,172.16.0.1,51851,6,7/7/2017 4:06,370708,6,2,11601,26,7215,0,1933.5,2838.440681,20,6,13.0,9.899494937,31364.3083,21.58032737,52958.28571,129113.5621,345002,75,370708,74141.6,151808.7309,345002,75,97,97.0,0.0,97,97,0,0,0,0,144,40,16.18524553,5.395081843,0,7215,1291.888889,2441.667076,5961738.111,0,0,0,1,0,0,0,0,0,1453.375,1933.5,13.0,144,0,0,0,0,0,0,6,11601,2,26,8192,256,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
